"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979"
"00998","United States (Metropolitan Portion)","1","Personal income (thousands of dollars)",684087777,739319709,798048937,875093686,968033324,1066312857,1165803536,1281064175,1415460784,1589606840,1776418714
"00998","United States (Metropolitan Portion)","2","Population (persons) 1/",165312410,167673802,170105159,172046247,173780093,175466407,177030533,178686628,180432448,182401281,184484865
"00998","United States (Metropolitan Portion)","3","Per capita personal income (dollars) 2/",4138,4409,4692,5086,5570,6077,6585,7169,7845,8715,9629
"10180","Abilene, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",397478,445225,476061,541293,581519,655804,771668,852803,926754,1062407,1210051
"10180","Abilene, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",125138,122505,124841,128517,127533,128625,131031,133379,133052,134462,136601
"10180","Abilene, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3176,3634,3813,4212,4560,5099,5889,6394,6965,7901,8858
"10420","Akron, OH (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2720989,2838776,2990538,3263561,3568727,3882656,4114360,4425010,4944761,5471768,6012395
"10420","Akron, OH (Metropolitan Statistical Area)","2","Population (persons) 1/",676214,679077,679231,677046,676196,670284,672844,667910,662233,658517,660364
"10420","Akron, OH (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",4024,4180,4403,4820,5278,5793,6115,6625,7467,8309,9105
"10500","Albany, GA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",321140,372190,424311,480038,555071,572953,601973,669194,731117,843252,944356
"10500","Albany, GA (Metropolitan Statistical Area)","2","Population (persons) 1/",120767,123598,127456,131775,133860,130309,131861,134378,137462,138191,140660
"10500","Albany, GA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",2659,3011,3329,3643,4147,4397,4565,4980,5319,6102,6714
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",225174,242957,268934,298356,345781,396139,430189,496928,561977,626200,692242
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2","Population (persons) 1/",70221,72587,75547,76467,78150,79006,80942,82420,84723,86334,88999
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3207,3347,3560,3902,4425,5014,5315,6029,6633,7253,7778
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2965738,3299252,3648157,3926002,4229899,4588365,4962911,5302714,5731221,6268119,6893883
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2","Population (persons) 1/",741040,749695,761289,772468,774486,772691,774345,772927,774635,776648,776196
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",4002,4401,4792,5082,5462,5938,6409,6861,7399,8071,8882
"10740","Albuquerque, NM (Metropolitan Statistical Area) *","1","Personal income (thousands of dollars)",1247215,1414627,1598397,1834590,2045489,2292455,2593217,2935369,3288372,3809512,4332145
"10740","Albuquerque, NM (Metropolitan Statistical Area) *","2","Population (persons) 1/",377600,382076,397496,407732,426583,440633,450712,464570,481349,492914,508581
"10740","Albuquerque, NM (Metropolitan Statistical Area) *","3","Per capita personal income (dollars) 2/",3303,3702,4021,4499,4795,5203,5754,6318,6832,7729,8518
"10780","Alexandria, LA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",370042,398474,452673,494074,549564,596522,667030,750300,821170,932091,1032092
"10780","Alexandria, LA (Metropolitan Statistical Area)","2","Population (persons) 1/",131387,132287,136756,137425,139971,140176,141141,143786,146270,147614,149880
"10780","Alexandria, LA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",2816,3012,3310,3595,3926,4256,4726,5218,5614,6314,6886
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2277980,2470715,2634493,2921986,3293107,3695845,4063395,4421259,4886917,5432118,6060391
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2","Population (persons) 1/",589204,595577,601892,605156,610947,617690,622114,624814,627598,629719,633073
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3866,4148,4377,4828,5390,5983,6532,7076,7787,8626,9573
"11020","Altoona, PA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",431016,470275,499206,535727,589763,647183,713117,795308,877132,965705,1066392
"11020","Altoona, PA (Metropolitan Statistical Area)","2","Population (persons) 1/",135488,135538,136999,137687,136556,136956,136611,136023,137015,137705,137966
"11020","Altoona, PA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3181,3470,3644,3891,4319,4725,5220,5847,6402,7013,7729
"11100","Amarillo, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",556820,603484,657441,702455,819510,891605,1100596,1204978,1330264,1505057,1692963
"11100","Amarillo, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",170368,155258,158182,160557,161637,163395,165916,169368,173027,175670,181120
"11100","Amarillo, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3268,3887,4156,4375,5070,5457,6633,7115,7688,8568,9347
"11180","Ames, IA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",296995,325305,347900,389057,467046,497093,553277,594919,639474,773900,839150
"11180","Ames, IA (Metropolitan Statistical Area)","2","Population (persons) 1/",86911,89447,90583,92099,93216,94131,94174,95325,96351,97669,97790
"11180","Ames, IA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3417,3637,3841,4224,5010,5281,5875,6241,6637,7924,8581
"11260","Anchorage, AK (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",802188,910435,1004489,1110361,1225781,1510511,2016802,2407760,2679418,2727115,2861807
"11260","Anchorage, AK (Metropolitan Statistical Area)","2","Population (persons) 1/",129696,134230,141875,151010,155729,161355,175236,186127,189680,194074,195031
"11260","Anchorage, AK (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",6185,6783,7080,7353,7871,9361,11509,12936,14126,14052,14674
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1052627,1095725,1212039,1349916,1518740,1638400,1805963,2038347,2297921,2616066,2903669
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","2","Population (persons) 1/",223597,234226,236222,241470,246780,256447,251024,253934,257407,259775,262859
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",4708,4678,5131,5590,6154,6389,7194,8027,8927,10071,11046
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",304416,313931,353608,396486,433646,485455,557197,624434,702104,776570,849706
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","2","Population (persons) 1/",102946,103125,103622,103846,105027,105917,107005,112768,112801,116474,116742
