"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999"
"00998","United States (Metropolitan Portion)","1","Personal income (thousands of dollars)",1990215265,2228714960,2393280452,2563471692,2832094071,3042639993,3234764745,3441517357,3733870303,4032052653,4290095771,4435660194,4732181774,4941267162,5191551235,5506149705,5843550169,6215497735,6684716108,7052183697
"00998","United States (Metropolitan Portion)","2","Population (persons) 1/",186782151,188778153,190745925,192718299,194703380,196876182,199228098,201492835,203720597,206023143,208731806,211749567,214894354,217865356,220657445,223370500,226131436,229081203,232040831,235008165
"00998","United States (Metropolitan Portion)","3","Per capita personal income (dollars) 2/",10655,11806,12547,13302,14546,15455,16236,17080,18328,19571,20553,20948,22021,22680,23528,24650,25841,27132,28808,30008
"10180","Abilene, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1396724,1681889,1805340,1890446,2010700,2138884,2128927,2097573,2189009,2274917,2324820,2382790,2541971,2668070,2724394,2915506,3105725,3322907,3465354,3590993
"10180","Abilene, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755
"10180","Abilene, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",9970,11736,12125,12361,13092,13937,13732,13651,14589,15235,15726,16165,16956,17449,17716,18678,19864,21111,21896,22478
"10420","Akron, OH (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",6607832,7243539,7575849,7987788,8702211,9210231,9636333,10095804,10770981,11738137,12392974,12698519,13573246,14178987,15065195,15997336,16821909,17779727,18913133,19574962
"10420","Akron, OH (Metropolitan Statistical Area)","2","Population (persons) 1/",660334,658870,656126,653968,651917,648457,646647,647810,652814,655626,658654,664478,669752,674114,678063,682146,687264,689461,691039,693125
"10420","Akron, OH (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",10007,10994,11546,12214,13349,14203,14902,15585,16499,17904,18816,19111,20266,21034,22218,23451,24477,25788,27369,28242
"10500","Albany, GA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1053652,1201662,1270580,1352233,1508326,1585078,1653303,1710957,1836633,1966471,2094178,2233147,2344768,2455591,2682327,2828467,3009316,3097422,3224077,3315444
"10500","Albany, GA (Metropolitan Statistical Area)","2","Population (persons) 1/",142986,144771,145744,145846,146534,147235,146612,145828,144961,144058,143025,144169,146343,148122,149356,150100,151596,152692,153449,153555
"10500","Albany, GA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",7369,8300,8718,9272,10293,10766,11277,11733,12670,13651,14642,15490,16022,16578,17959,18844,19851,20285,21011,21591
