"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"00998","United States (Metropolitan Portion)","1","Personal income (thousands of dollars)",7655312348,7958275219,8088806133,8375668314,8859063398,9371337535,10084458854,10650412036,11032760873,10657166948,11108178800,11767995638,12389786372,12544735401,13269217249,13939766213,14348112436,15042009248,15810098861,16464095179,17521594732
"00998","United States (Metropolitan Portion)","2","Population (persons) 1/",237948237,240717866,243260703,245592588,248115013,250646689,253256238,255922913,258627316,261210075,263665619,265938399,268296451,270532085,272904353,275299319,277657065,279712749,281421381,282909075,284100425
"00998","United States (Metropolitan Portion)","3","Per capita personal income (dollars) 2/",32172,33061,33252,34104,35705,37389,39819,41616,42659,40799,42130,44251,46179,46371,48622,50635,51676,53777,56179,58196,61674
"10180","Abilene, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3706538,3790618,3945616,4192472,4386531,4626050,4922468,5185518,5734957,5487739,5804497,6161538,6462295,6654742,7133407,6954264,6856546,7056009,7536804,7994422,8650234
"10180","Abilene, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165590,166651,167483,167515,168408,169770,170087,170411,171138,171949,173185
"10180","Abilene, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",23124,23853,24813,26399,27389,28776,30501,32005,35290,33485,35053,36973,38585,39726,42358,40963,40312,41406,44039,46493,49948
"10420","Akron, OH (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",20722983,21096103,21391814,22238213,23105169,23771959,24716672,26022232,27184842,26373017,27146196,28219626,29059109,29711470,31061150,31946384,32374785,33668330,35028854,36367207,38469232
"10420","Akron, OH (Metropolitan Statistical Area)","2","Population (persons) 1/",695946,698108,699533,701139,701811,702498,702433,703423,703300,703361,703056,703262,702224,703778,705092,704607,703790,704136,703818,703240,701449
"10420","Akron, OH (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",29777,30219,30580,31717,32922,33839,35187,36994,38653,37496,38612,40127,41382,42217,44053,45339,46001,47815,49770,51714,54843
"10500","Albany, GA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3434771,3524676,3671978,3809952,3899347,4035833,4130270,4306086,4481946,4567668,4706821,5033320,5057703,4996966,5092327,5189212,5227625,5334348,5456624,5684946,6206642
"10500","Albany, GA (Metropolitan Statistical Area)","2","Population (persons) 1/",153585,153730,153024,152790,152887,152919,153535,153661,153823,154409,154155,154571,154015,152721,152005,150455,149173,148196,147919,146657,145206
"10500","Albany, GA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",22364,22928,23996,24936,25505,26392,26901,28023,29137,29582,30533,32563,32839,32720,33501,34490,35044,35995,36889,38764,42744
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2353572,2567006,2641126,2704906,2888624,3009212,3279740,3438887,3568970,3553980,3697658,3818109,3947158,4006682,4288047,4578916,4791026,5071250,5456524,5698614,6295776
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2","Population (persons) 1/",103020,103544,104561,106035,106799,108132,110764,112932,114967,116001,116887,118175,118293,118439,119095,120303,122871,125098,127455,129598,131054
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",22846,24791,25259,25510,27047,27829,29610,30451,31043,30637,31634,32309,33368,33829,36005,38062,38992,40538,42811,43971,48040
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",26837786,28174147,28445224,29483413,30830928,31713253,33457949,34968131,36913180,37132647,38682101,40070328,41457094,42289493,43833154,46120117,46925628,49447607,50974648,53238361,57203770
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2","Population (persons) 1/",827399,831034,836753,844619,850384,854604,860365,863068,866282,869361,871101,872870,874851,877282,878388,879297,880101,882423,882786,879968,878550
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",32436,33903,33995,34907,36255,37109,38888,40516,42611,42713,44406,45906,47388,48205,49902,52451,53318,56036,57743,60500,65112
