series_id,state_code,area_code,supersector_code,industry_code,data_type_code,seasonal,area_name,supersector_name,industry_name,data_type_text,seasonal_text
SMU18140200000000001,18,14020,00,00000000,01,U,"Bloomington, IN",Total Nonfarm,Total Nonfarm,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18140201500000001,18,14020,15,15000000,01,U,"Bloomington, IN","Mining, Logging, and Construction","Mining, Logging and Construction","All Employees, In Thousands",Not Seasonally Adjusted
SMU18140203000000001,18,14020,30,30000000,01,U,"Bloomington, IN",Manufacturing,Manufacturing,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18140204100000001,18,14020,41,41000000,01,U,"Bloomington, IN",Wholesale Trade,Wholesale Trade,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18140204200000001,18,14020,42,42000000,01,U,"Bloomington, IN",Retail Trade,Retail Trade,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18140204300000001,18,14020,43,43000000,01,U,"Bloomington, IN",Transportation and Utilities,"Transportation, Warehousing, and Utilities","All Employees, In Thousands",Not Seasonally Adjusted
SMU18140205000000001,18,14020,50,50000000,01,U,"Bloomington, IN",Information,Information,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18140205500000001,18,14020,55,55000000,01,U,"Bloomington, IN",Financial Activities,Financial Activities,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18140206000000001,18,14020,60,60000000,01,U,"Bloomington, IN",Professional and Business Services,Professional and Business Services,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18140206500000001,18,14020,65,65000000,01,U,"Bloomington, IN",Education and Health Services,Education and Health Services,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18140207000000001,18,14020,70,70000000,01,U,"Bloomington, IN",Leisure and Hospitality,Leisure and Hospitality,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18140208000000001,18,14020,80,80000000,01,U,"Bloomington, IN",Other Services,Other Services,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18140209091000001,18,14020,90,90910000,01,U,"Bloomington, IN",Government,Federal Government,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18140209092000001,18,14020,90,90920000,01,U,"Bloomington, IN",Government,State Government,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18140209093000001,18,14020,90,90930000,01,U,"Bloomington, IN",Government,Local Government,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18180200000000001,18,18020,00,00000000,01,U,"Columbus, IN",Total Nonfarm,Total Nonfarm,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18180201500000001,18,18020,15,15000000,01,U,"Columbus, IN","Mining, Logging, and Construction","Mining, Logging and Construction","All Employees, In Thousands",Not Seasonally Adjusted
SMU18180203000000001,18,18020,30,30000000,01,U,"Columbus, IN",Manufacturing,Manufacturing,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18180204200000001,18,18020,42,42000000,01,U,"Columbus, IN",Retail Trade,Retail Trade,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18180205000000001,18,18020,50,50000000,01,U,"Columbus, IN",Information,Information,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18180205500000001,18,18020,55,55000000,01,U,"Columbus, IN",Financial Activities,Financial Activities,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18180206000000001,18,18020,60,60000000,01,U,"Columbus, IN",Professional and Business Services,Professional and Business Services,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18180206500000001,18,18020,65,65000000,01,U,"Columbus, IN",Education and Health Services,Education and Health Services,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18180207000000001,18,18020,70,70000000,01,U,"Columbus, IN",Leisure and Hospitality,Leisure and Hospitality,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18180208000000001,18,18020,80,80000000,01,U,"Columbus, IN",Other Services,Other Services,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18180209091000001,18,18020,90,90910000,01,U,"Columbus, IN",Government,Federal Government,"All Employees, In Thousands",Not Seasonally Adjusted
SMU18180209092000001,18,18020,90,90920000,01,U,"Columbus, IN",Government,State Government,"All Employees, In Thousands",Not Seasonally Adjusted
